trial,structurally_viable,fill_first_avg_student_ranking,fill_first_std_student_ranking,fill_first_median_student_ranking,fill_first_iqr_student_ranking,fill_first_student_satisfaction_percent,fill_first_student_satisfaction_top4_percent,fill_first_student_satisfaction_top5_percent,fill_first_students_got_choice_1_count,fill_first_students_got_choice_1_percent,fill_first_students_got_choice_2_count,fill_first_students_got_choice_2_percent,fill_first_students_got_choice_3_count,fill_first_students_got_choice_3_percent,fill_first_students_got_choice_4_count,fill_first_students_got_choice_4_percent,fill_first_students_got_choice_5_count,fill_first_students_got_choice_5_percent,fill_first_students_got_choice_6_count,fill_first_students_got_choice_6_percent
1,True,3.4375,1.7666617531378213,3.5,3.25,50.0,62.5,87.5,4,25.0,1,6.25,3,18.75,2,12.5,4,25.0,2,12.5
2,True,2.6875,1.1021995055342748,2.5,1.25,75.0,93.75,100.0,2,12.5,6,37.5,4,25.0,3,18.75,1,6.25,0,0.0
3,True,2.4375,1.3213984069916234,2.5,2.25,75.0,93.75,100.0,6,37.5,2,12.5,4,25.0,3,18.75,1,6.25,0,0.0
4,True,3.0625,1.3448396744593758,3.5,2.0,50.0,87.5,100.0,3,18.75,3,18.75,2,12.5,6,37.5,2,12.5,0,0.0
5,True,2.4375,1.539835624344365,2.0,2.25,75.0,87.5,93.75,6,37.5,4,25.0,2,12.5,2,12.5,1,6.25,1,6.25
6,True,3.3125,1.4882351124738322,3.0,3.0,56.25,68.75,93.75,1,6.25,6,37.5,2,12.5,2,12.5,4,25.0,1,6.25
7,True,3.625,1.3169567191065923,4.0,1.5,37.5,75.0,93.75,1,6.25,3,18.75,2,12.5,6,37.5,3,18.75,1,6.25
8,True,3.0625,1.3905372163304368,3.0,2.0,56.25,81.25,100.0,3,18.75,3,18.75,3,18.75,4,25.0,3,18.75,0,0.0
9,True,3.375,1.5360257159305635,4.0,2.25,43.75,75.0,93.75,3,18.75,2,12.5,2,12.5,5,31.25,3,18.75,1,6.25
10,True,3.0625,1.6758859597239903,3.5,4.0,50.0,68.75,100.0,5,31.25,2,12.5,1,6.25,3,18.75,5,31.25,0,0.0
11,True,2.6875,1.4456291882775472,2.0,1.0,81.25,81.25,93.75,3,18.75,6,37.5,4,25.0,0,0.0,2,12.5,1,6.25
12,True,3.3125,1.4882351124738322,3.5,2.25,50.0,75.0,93.75,2,12.5,4,25.0,2,12.5,4,25.0,3,18.75,1,6.25
13,True,2.9375,1.5194057226429023,3.0,3.0,56.25,81.25,100.0,5,31.25,1,6.25,3,18.75,4,25.0,3,18.75,0,0.0
14,True,3.0,1.4577379737113252,3.0,2.0,68.75,81.25,93.75,3,18.75,3,18.75,5,31.25,2,12.5,2,12.5,1,6.25
15,True,2.875,1.3169567191065923,3.0,1.25,75.0,81.25,100.0,3,18.75,3,18.75,6,37.5,1,6.25,3,18.75,0,0.0
16,True,2.875,1.2686114456365274,3.0,2.0,56.25,93.75,100.0,3,18.75,4,25.0,2,12.5,6,37.5,1,6.25,0,0.0
17,True,2.875,1.4947825928876748,3.0,3.0,62.5,81.25,100.0,5,31.25,1,6.25,4,25.0,3,18.75,3,18.75,0,0.0
18,True,2.9375,1.4776988021921111,3.0,2.0,68.75,81.25,93.75,3,18.75,4,25.0,4,25.0,2,12.5,2,12.5,1,6.25
19,True,2.125,1.3169567191065923,2.0,2.0,87.5,87.5,100.0,7,43.75,4,25.0,3,18.75,0,0.0,2,12.5,0,0.0
20,True,3.375,1.4086784586980805,4.0,2.0,43.75,81.25,93.75,2,12.5,3,18.75,2,12.5,6,37.5,2,12.5,1,6.25
21,True,3.3125,1.7929985359726315,3.5,3.25,50.0,56.25,93.75,4,25.0,3,18.75,1,6.25,1,6.25,6,37.5,1,6.25
22,True,2.625,1.1110243021644486,3.0,1.0,81.25,93.75,100.0,3,18.75,4,25.0,6,37.5,2,12.5,1,6.25,0,0.0
23,True,2.375,1.2183492931011204,2.0,3.0,68.75,100.0,100.0,5,31.25,5,31.25,1,6.25,5,31.25,0,0.0,0,0.0
24,True,2.9375,1.3905372163304368,3.0,2.0,68.75,87.5,93.75,3,18.75,3,18.75,5,31.25,3,18.75,1,6.25,1,6.25
25,True,3.3125,1.529654781315052,3.5,2.25,50.0,75.0,93.75,3,18.75,2,12.5,3,18.75,4,25.0,3,18.75,1,6.25
26,True,3.0,1.5,3.0,3.0,68.75,68.75,100.0,3,18.75,4,25.0,4,25.0,0,0.0,5,31.25,0,0.0
27,True,2.6875,1.4456291882775472,2.0,2.25,68.75,81.25,100.0,4,25.0,5,31.25,2,12.5,2,12.5,3,18.75,0,0.0
28,True,3.6875,1.5699820858850588,3.5,2.0,50.0,68.75,81.25,2,12.5,1,6.25,5,31.25,3,18.75,2,12.5,3,18.75
29,True,3.125,1.7275343701356567,3.0,2.5,56.25,75.0,87.5,4,25.0,3,18.75,2,12.5,3,18.75,2,12.5,2,12.5
30,True,3.125,1.653594569415369,3.0,2.25,62.5,75.0,87.5,3,18.75,4,25.0,3,18.75,2,12.5,2,12.5,2,12.5
31,True,2.4375,1.1162856937182344,2.0,1.5,75.0,100.0,100.0,4,25.0,5,31.25,3,18.75,4,25.0,0,0.0,0,0.0
32,True,3.25,1.3919410907075054,3.0,1.5,56.25,75.0,100.0,3,18.75,1,6.25,5,31.25,3,18.75,4,25.0,0,0.0
33,True,3.5625,1.7309228030157786,4.0,3.25,37.5,56.25,93.75,4,25.0,1,6.25,1,6.25,3,18.75,6,37.5,1,6.25
34,True,2.9375,1.4347800354061246,3.0,2.0,62.5,87.5,93.75,3,18.75,4,25.0,3,18.75,4,25.0,1,6.25,1,6.25
35,True,3.125,1.3635890143294642,3.5,1.5,50.0,87.5,100.0,4,25.0,0,0.0,4,25.0,6,37.5,2,12.5,0,0.0
36,True,2.875,1.7275343701356567,2.0,3.25,56.25,75.0,93.75,5,31.25,4,25.0,0,0.0,3,18.75,3,18.75,1,6.25
