trial,structurally_viable,fill_first_avg_student_ranking,fill_first_std_student_ranking,fill_first_median_student_ranking,fill_first_iqr_student_ranking,fill_first_student_satisfaction_percent,fill_first_student_satisfaction_top4_percent,fill_first_student_satisfaction_top5_percent,fill_first_students_got_choice_1_count,fill_first_students_got_choice_1_percent,fill_first_students_got_choice_2_count,fill_first_students_got_choice_2_percent,fill_first_students_got_choice_3_count,fill_first_students_got_choice_3_percent,fill_first_students_got_choice_4_count,fill_first_students_got_choice_4_percent,fill_first_students_got_choice_5_count,fill_first_students_got_choice_5_percent,fill_first_students_got_choice_6_count,fill_first_students_got_choice_6_percent
1,True,3.1333333333333333,1.627540748764494,3.0,2.0,63.33333333333333,83.33333333333334,83.33333333333334,6,20.0,5,16.666666666666664,8,26.666666666666668,6,20.0,0,0.0,5,16.666666666666664
2,True,3.0,1.3416407864998738,3.0,2.0,70.0,86.66666666666667,93.33333333333333,4,13.333333333333334,7,23.333333333333332,10,33.33333333333333,5,16.666666666666664,2,6.666666666666667,2,6.666666666666667
3,True,2.8333333333333335,1.5073892072793351,3.0,1.0,80.0,86.66666666666667,86.66666666666667,6,20.0,7,23.333333333333332,11,36.666666666666664,2,6.666666666666667,0,0.0,4,13.333333333333334
4,True,2.7,1.5307950004273378,2.0,2.0,70.0,83.33333333333334,93.33333333333333,7,23.333333333333332,11,36.666666666666664,3,10.0,4,13.333333333333334,3,10.0,2,6.666666666666667
5,True,3.1,1.6802777548171413,3.0,3.0,60.0,76.66666666666667,90.0,9,30.0,1,3.3333333333333335,8,26.666666666666668,5,16.666666666666664,4,13.333333333333334,3,10.0
6,True,2.2333333333333334,1.256538454998051,2.0,2.0,86.66666666666667,93.33333333333333,96.66666666666667,10,33.33333333333333,10,33.33333333333333,6,20.0,2,6.666666666666667,1,3.3333333333333335,1,3.3333333333333335
7,True,2.433333333333333,1.430229196861662,2.0,2.0,86.66666666666667,86.66666666666667,93.33333333333333,9,30.0,9,30.0,8,26.666666666666668,0,0.0,2,6.666666666666667,2,6.666666666666667
8,True,3.0,1.3416407864998738,3.0,2.0,63.33333333333333,90.0,93.33333333333333,4,13.333333333333334,8,26.666666666666668,7,23.333333333333332,8,26.666666666666668,1,3.3333333333333335,2,6.666666666666667
9,True,3.1333333333333333,1.5648926125740672,3.0,2.0,63.33333333333333,80.0,86.66666666666667,4,13.333333333333334,9,30.0,6,20.0,5,16.666666666666664,2,6.666666666666667,4,13.333333333333334
10,True,2.3,1.5524174696260022,2.0,2.0,80.0,90.0,90.0,12,40.0,9,30.0,3,10.0,3,10.0,0,0.0,3,10.0
11,True,2.8,1.2220201853215573,3.0,1.75,73.33333333333333,93.33333333333333,96.66666666666667,5,16.666666666666664,7,23.333333333333332,10,33.33333333333333,6,20.0,1,3.3333333333333335,1,3.3333333333333335
12,True,2.8666666666666667,1.4772346537440226,2.5,2.0,63.33333333333333,86.66666666666667,93.33333333333333,6,20.0,9,30.0,4,13.333333333333334,7,23.333333333333332,2,6.666666666666667,2,6.666666666666667
13,True,2.7333333333333334,1.6110727964792764,2.0,1.75,76.66666666666667,80.0,90.0,8,26.666666666666668,8,26.666666666666668,7,23.333333333333332,1,3.3333333333333335,3,10.0,3,10.0
14,True,2.8333333333333335,1.5293426329272615,3.0,2.0,70.0,86.66666666666667,90.0,7,23.333333333333332,7,23.333333333333332,7,23.333333333333332,5,16.666666666666664,1,3.3333333333333335,3,10.0
15,True,3.2333333333333334,1.62651638650078,3.0,2.0,66.66666666666666,76.66666666666667,83.33333333333334,5,16.666666666666664,5,16.666666666666664,10,33.33333333333333,3,10.0,2,6.666666666666667,5,16.666666666666664
16,True,2.6,1.171893055416463,2.0,1.0,86.66666666666667,90.0,96.66666666666667,4,13.333333333333334,12,40.0,10,33.33333333333333,1,3.3333333333333335,2,6.666666666666667,1,3.3333333333333335
17,True,2.5,1.7841898254763513,2.0,2.0,80.0,83.33333333333334,83.33333333333334,13,43.333333333333336,5,16.666666666666664,6,20.0,1,3.3333333333333335,0,0.0,5,16.666666666666664
18,True,2.433333333333333,1.3337499349161703,2.0,2.0,86.66666666666667,93.33333333333333,93.33333333333333,9,30.0,7,23.333333333333332,10,33.33333333333333,2,6.666666666666667,0,0.0,2,6.666666666666667
