trial,fill_first_avg_student_ranking,fill_first_std_student_ranking,fill_first_median_student_ranking,fill_first_iqr_student_ranking,fill_first_student_satisfaction_percent,fill_first_student_satisfaction_top4_percent,fill_first_student_satisfaction_top5_percent,fill_first_students_got_choice_1_count,fill_first_students_got_choice_1_percent,fill_first_students_got_choice_2_count,fill_first_students_got_choice_2_percent,fill_first_students_got_choice_3_count,fill_first_students_got_choice_3_percent,fill_first_students_got_choice_4_count,fill_first_students_got_choice_4_percent,fill_first_students_got_choice_5_count,fill_first_students_got_choice_5_percent,fill_first_students_got_choice_6_count,fill_first_students_got_choice_6_percent,rank_first_avg_student_ranking,rank_first_std_student_ranking,rank_first_median_student_ranking,rank_first_iqr_student_ranking,rank_first_student_satisfaction_percent,rank_first_student_satisfaction_top4_percent,rank_first_student_satisfaction_top5_percent,rank_first_students_got_choice_1_count,rank_first_students_got_choice_1_percent,rank_first_students_got_choice_2_count,rank_first_students_got_choice_2_percent,rank_first_students_got_choice_3_count,rank_first_students_got_choice_3_percent,rank_first_students_got_choice_4_count,rank_first_students_got_choice_4_percent,rank_first_students_got_choice_5_count,rank_first_students_got_choice_5_percent,rank_first_students_got_choice_6_count,rank_first_students_got_choice_6_percent,best_first_avg_student_ranking,best_first_std_student_ranking,best_first_median_student_ranking,best_first_iqr_student_ranking,best_first_student_satisfaction_percent,best_first_student_satisfaction_top4_percent,best_first_student_satisfaction_top5_percent,best_first_students_got_choice_1_count,best_first_students_got_choice_1_percent,best_first_students_got_choice_2_count,best_first_students_got_choice_2_percent,best_first_students_got_choice_3_count,best_first_students_got_choice_3_percent,best_first_students_got_choice_4_count,best_first_students_got_choice_4_percent,best_first_students_got_choice_5_count,best_first_students_got_choice_5_percent,best_first_students_got_choice_6_count,best_first_students_got_choice_6_percent,fragility_mirror_avg_student_ranking,fragility_mirror_std_student_ranking,fragility_mirror_median_student_ranking,fragility_mirror_iqr_student_ranking,fragility_mirror_student_satisfaction_percent,fragility_mirror_student_satisfaction_top4_percent,fragility_mirror_student_satisfaction_top5_percent,fragility_mirror_students_got_choice_1_count,fragility_mirror_students_got_choice_1_percent,fragility_mirror_students_got_choice_2_count,fragility_mirror_students_got_choice_2_percent,fragility_mirror_students_got_choice_3_count,fragility_mirror_students_got_choice_3_percent,fragility_mirror_students_got_choice_4_count,fragility_mirror_students_got_choice_4_percent,fragility_mirror_students_got_choice_5_count,fragility_mirror_students_got_choice_5_percent,fragility_mirror_students_got_choice_6_count,fragility_mirror_students_got_choice_6_percent
11,2.8,1.886796226411321,2.0,2.75,73.33333333333333,76.66666666666667,80.0,11,36.666666666666664,5,16.666666666666664,6,20.0,1,3.3333333333333335,1,3.3333333333333335,6,20.0,2.1,1.619670748434179,1.0,1.75,80.0,90.0,90.0,17,56.666666666666664,5,16.666666666666664,2,6.666666666666667,3,10.0,0,0.0,3,10.0,2.3,1.7916472867168918,1.0,2.0,76.66666666666667,83.33333333333334,86.66666666666667,16,53.333333333333336,5,16.666666666666664,2,6.666666666666667,2,6.666666666666667,1,3.3333333333333335,4,13.333333333333334,2.8333333333333335,1.9507833184532708,2.0,3.0,63.33333333333333,76.66666666666667,80.0,12,40.0,5,16.666666666666664,2,6.666666666666667,4,13.333333333333334,1,3.3333333333333335,6,20.0
12,2.6333333333333333,1.6629959577688562,2.0,2.0,80.0,83.33333333333334,86.66666666666667,10,33.33333333333333,6,20.0,8,26.666666666666668,1,3.3333333333333335,1,3.3333333333333335,4,13.333333333333334,2.3333333333333335,1.8499249234015478,1.5,1.75,80.0,80.0,83.33333333333334,15,50.0,7,23.333333333333332,2,6.666666666666667,0,0.0,1,3.3333333333333335,5,16.666666666666664,2.2666666666666666,1.6519348924485158,2.0,1.75,83.33333333333334,86.66666666666667,86.66666666666667,13,43.333333333333336,9,30.0,3,10.0,1,3.3333333333333335,0,0.0,4,13.333333333333334,2.966666666666667,1.8162843634433705,2.0,3.5,66.66666666666666,73.33333333333333,83.33333333333334,8,26.666666666666668,8,26.666666666666668,4,13.333333333333334,2,6.666666666666667,3,10.0,5,16.666666666666664
13,2.6333333333333333,1.7026123718829511,2.0,2.0,80.0,80.0,86.66666666666667,10,33.33333333333333,7,23.333333333333332,7,23.333333333333332,0,0.0,2,6.666666666666667,4,13.333333333333334,2.2,1.5577761927397231,2.0,2.0,83.33333333333334,90.0,90.0,14,46.666666666666664,7,23.333333333333332,4,13.333333333333334,2,6.666666666666667,0,0.0,3,10.0,2.2333333333333334,1.54236470683457,2.0,2.0,83.33333333333334,90.0,90.0,13,43.333333333333336,8,26.666666666666668,4,13.333333333333334,2,6.666666666666667,0,0.0,3,10.0,2.933333333333333,1.8061622912192088,3.0,3.0,63.33333333333333,80.0,83.33333333333334,10,33.33333333333333,4,13.333333333333334,5,16.666666666666664,5,16.666666666666664,1,3.3333333333333335,5,16.666666666666664
14,2.7,1.7916472867168916,2.0,2.0,80.0,80.0,80.0,9,30.0,9,30.0,6,20.0,0,0.0,0,0.0,6,20.0,1.9666666666666666,1.5595583420386112,1.0,1.0,86.66666666666667,90.0,90.0,18,60.0,5,16.666666666666664,3,10.0,1,3.3333333333333335,0,0.0,3,10.0,1.9666666666666666,1.3780017739062924,1.0,1.75,90.0,93.33333333333333,93.33333333333333,16,53.333333333333336,6,20.0,5,16.666666666666664,1,3.3333333333333335,0,0.0,2,6.666666666666667,2.3,1.5088627063675033,2.0,2.0,83.33333333333334,90.0,90.0,11,36.666666666666664,10,33.33333333333333,4,13.333333333333334,2,6.666666666666667,0,0.0,3,10.0
15,2.6666666666666665,1.577621275493231,2.0,2.75,73.33333333333333,86.66666666666667,90.0,9,30.0,7,23.333333333333332,6,20.0,4,13.333333333333334,1,3.3333333333333335,3,10.0,2.2666666666666666,1.8245242911205344,1.0,2.0,76.66666666666667,83.33333333333334,86.66666666666667,18,60.0,2,6.666666666666667,3,10.0,2,6.666666666666667,1,3.3333333333333335,4,13.333333333333334,2.2666666666666666,1.6719914938645934,1.5,2.0,76.66666666666667,86.66666666666667,90.0,15,50.0,6,20.0,2,6.666666666666667,3,10.0,1,3.3333333333333335,3,10.0,2.8333333333333335,1.8454147380888546,3.0,3.0,66.66666666666666,80.0,83.33333333333334,12,40.0,2,6.666666666666667,6,20.0,4,13.333333333333334,1,3.3333333333333335,5,16.666666666666664
16,2.7,1.9,2.0,3.0,70.0,76.66666666666667,83.33333333333334,13,43.333333333333336,4,13.333333333333334,4,13.333333333333334,2,6.666666666666667,2,6.666666666666667,5,16.666666666666664,2.1666666666666665,1.7527755766846542,1.0,1.75,83.33333333333334,83.33333333333334,86.66666666666667,17,56.666666666666664,5,16.666666666666664,3,10.0,0,0.0,1,3.3333333333333335,4,13.333333333333334,2.2666666666666666,1.806162291219209,1.0,1.75,80.0,80.0,86.66666666666667,16,53.333333333333336,6,20.0,2,6.666666666666667,0,0.0,2,6.666666666666667,4,13.333333333333334,2.966666666666667,2.0893911925619757,2.0,4.75,63.33333333333333,70.0,73.33333333333333,12,40.0,5,16.666666666666664,2,6.666666666666667,2,6.666666666666667,1,3.3333333333333335,8,26.666666666666668
17,2.3333333333333335,1.5563490039905004,2.0,2.0,80.0,90.0,90.0,12,40.0,8,26.666666666666668,4,13.333333333333334,3,10.0,0,0.0,3,10.0,2.1333333333333333,1.7269111795984826,1.0,1.0,80.0,86.66666666666667,86.66666666666667,17,56.666666666666664,6,20.0,1,3.3333333333333335,2,6.666666666666667,0,0.0,4,13.333333333333334,2.1666666666666665,1.5509853498842454,2.0,1.75,83.33333333333334,90.0,90.0,14,46.666666666666664,8,26.666666666666668,3,10.0,2,6.666666666666667,0,0.0,3,10.0,2.6,1.9595917942265426,1.5,3.0,66.66666666666666,76.66666666666667,83.33333333333334,15,50.0,4,13.333333333333334,1,3.3333333333333335,3,10.0,2,6.666666666666667,5,16.666666666666664
18,2.5,1.5,2.0,2.0,80.0,90.0,90.0,9,30.0,9,30.0,6,20.0,3,10.0,0,0.0,3,10.0,2.066666666666667,1.5040685563571303,1.0,1.75,83.33333333333334,90.0,93.33333333333333,16,53.333333333333336,6,20.0,3,10.0,2,6.666666666666667,1,3.3333333333333335,2,6.666666666666667,2.2666666666666666,1.6918103387266028,1.0,2.0,76.66666666666667,86.66666666666667,90.0,16,53.333333333333336,4,13.333333333333334,3,10.0,3,10.0,1,3.3333333333333335,3,10.0,2.7666666666666666,1.9093337988826249,2.0,2.75,73.33333333333333,76.66666666666667,80.0,12,40.0,4,13.333333333333334,6,20.0,1,3.3333333333333335,1,3.3333333333333335,6,20.0
19,2.533333333333333,1.7269111795984824,2.0,2.75,73.33333333333333,83.33333333333334,86.66666666666667,11,36.666666666666664,9,30.0,2,6.666666666666667,3,10.0,1,3.3333333333333335,4,13.333333333333334,2.1666666666666665,1.7904065335994381,1.0,2.0,76.66666666666667,86.66666666666667,86.66666666666667,19,63.33333333333333,2,6.666666666666667,2,6.666666666666667,3,10.0,0,0.0,4,13.333333333333334,2.2333333333333334,1.7065234314893605,1.5,1.75,80.0,86.66666666666667,86.66666666666667,15,50.0,7,23.333333333333332,2,6.666666666666667,2,6.666666666666667,0,0.0,4,13.333333333333334,2.8333333333333335,2.0507451220362696,2.0,4.5,70.0,73.33333333333333,73.33333333333333,12,40.0,6,20.0,3,10.0,1,3.3333333333333335,0,0.0,8,26.666666666666668
20,2.2666666666666666,1.5260697523012796,2.0,2.0,83.33333333333334,90.0,90.0,12,40.0,9,30.0,4,13.333333333333334,2,6.666666666666667,0,0.0,3,10.0,2.1333333333333333,1.687865186822955,1.0,2.0,80.0,86.66666666666667,90.0,18,60.0,3,10.0,3,10.0,2,6.666666666666667,1,3.3333333333333335,3,10.0,2.1333333333333333,1.586050300449376,1.0,1.75,80.0,86.66666666666667,93.33333333333333,16,53.333333333333336,6,20.0,2,6.666666666666667,2,6.666666666666667,2,6.666666666666667,2,6.666666666666667,2.933333333333333,2.0483055327649624,2.0,4.75,70.0,70.0,73.33333333333333,11,36.666666666666664,6,20.0,4,13.333333333333334,0,0.0,1,3.3333333333333335,8,26.666666666666668
