trial,structurally_viable,fill_first_avg_student_ranking,fill_first_std_student_ranking,fill_first_median_student_ranking,fill_first_iqr_student_ranking,fill_first_student_satisfaction_percent,fill_first_student_satisfaction_top4_percent,fill_first_student_satisfaction_top5_percent,fill_first_students_got_choice_1_count,fill_first_students_got_choice_1_percent,fill_first_students_got_choice_2_count,fill_first_students_got_choice_2_percent,fill_first_students_got_choice_3_count,fill_first_students_got_choice_3_percent,fill_first_students_got_choice_4_count,fill_first_students_got_choice_4_percent,fill_first_students_got_choice_5_count,fill_first_students_got_choice_5_percent,fill_first_students_got_choice_6_count,fill_first_students_got_choice_6_percent
1,True,3.0,1.5748015748023623,3.0,2.0,64.0,84.0,88.0,5,20.0,6,24.0,5,20.0,5,20.0,1,4.0,3,12.0
2,True,2.72,1.3422369388450013,3.0,1.0,76.0,88.0,96.0,5,20.0,7,28.000000000000004,7,28.000000000000004,3,12.0,2,8.0,1,4.0
3,True,2.96,1.4277254638059798,3.0,2.0,64.0,88.0,92.0,4,16.0,7,28.000000000000004,5,20.0,6,24.0,1,4.0,2,8.0
4,True,2.8,1.4966629547095767,2.0,2.0,72.0,84.0,92.0,5,20.0,8,32.0,5,20.0,3,12.0,2,8.0,2,8.0
5,True,2.56,1.5252540771950096,2.0,3.0,72.0,88.0,92.0,7,28.000000000000004,9,36.0,2,8.0,4,16.0,1,4.0,2,8.0
6,True,2.64,1.438888459888396,2.0,1.0,76.0,84.0,96.0,6,24.0,8,32.0,5,20.0,2,8.0,3,12.0,1,4.0
7,True,3.12,1.5315351775261319,3.0,2.0,52.0,84.0,92.0,5,20.0,5,20.0,3,12.0,8,32.0,2,8.0,2,8.0
8,True,2.88,1.6569852141766386,3.0,3.0,64.0,84.0,88.0,7,28.000000000000004,5,20.0,4,16.0,5,20.0,1,4.0,3,12.0
9,True,2.56,1.2986146464598343,2.0,2.0,68.0,92.0,100.0,6,24.0,9,36.0,2,8.0,6,24.0,2,8.0,0,0.0
10,True,2.92,1.6951696080333674,2.0,3.0,64.0,72.0,92.0,6,24.0,8,32.0,2,8.0,2,8.0,5,20.0,2,8.0
11,True,2.32,1.2874781551544865,2.0,2.0,84.0,88.0,100.0,8,32.0,8,32.0,5,20.0,1,4.0,3,12.0,0,0.0
12,True,2.2,1.2,2.0,2.0,88.0,96.0,96.0,8,32.0,9,36.0,5,20.0,2,8.0,0,0.0,1,4.0
13,True,2.72,1.4837789592793127,2.0,2.0,68.0,84.0,96.0,6,24.0,8,32.0,3,12.0,4,16.0,3,12.0,1,4.0
14,True,2.24,1.2737346662472526,2.0,2.0,88.0,92.0,96.0,8,32.0,9,36.0,5,20.0,1,4.0,1,4.0,1,4.0
15,True,2.64,1.4108153670838717,3.0,2.0,76.0,88.0,96.0,7,28.000000000000004,5,20.0,7,28.000000000000004,3,12.0,2,8.0,1,4.0
16,True,2.44,1.2674383614203888,2.0,1.0,76.0,96.0,96.0,6,24.0,10,40.0,3,12.0,5,20.0,0,0.0,1,4.0
17,True,3.0,1.624807680927192,3.0,2.0,64.0,76.0,92.0,6,24.0,5,20.0,5,20.0,3,12.0,4,16.0,2,8.0
18,True,2.8,1.6733200530681511,2.0,3.0,72.0,80.0,88.0,7,28.000000000000004,6,24.0,5,20.0,2,8.0,2,8.0,3,12.0
19,True,2.64,1.52,2.0,2.0,80.0,84.0,92.0,7,28.000000000000004,6,24.0,7,28.000000000000004,1,4.0,2,8.0,2,8.0
20,True,2.36,1.438888459888396,2.0,2.0,76.0,92.0,96.0,10,40.0,5,20.0,4,16.0,4,16.0,1,4.0,1,4.0
21,True,2.32,1.5157836257197133,2.0,3.0,72.0,84.0,100.0,11,44.0,6,24.0,1,4.0,3,12.0,4,16.0,0,0.0
22,True,2.24,1.5304901175767194,2.0,2.0,84.0,88.0,92.0,11,44.0,6,24.0,4,16.0,1,4.0,1,4.0,2,8.0
23,True,2.48,1.2998461447417535,2.0,1.0,80.0,92.0,96.0,6,24.0,9,36.0,5,20.0,3,12.0,1,4.0,1,4.0
24,True,2.76,1.6069847541280533,3.0,3.0,68.0,84.0,92.0,8,32.0,4,16.0,5,20.0,4,16.0,2,8.0,2,8.0
25,True,2.68,1.4891608375189027,2.0,3.0,64.0,88.0,96.0,7,28.000000000000004,7,28.000000000000004,2,8.0,6,24.0,2,8.0,1,4.0
26,True,2.92,1.718604084715267,2.0,4.0,64.0,72.0,92.0,7,28.000000000000004,6,24.0,3,12.0,2,8.0,5,20.0,2,8.0
