trial,structurally_viable,fill_first_avg_student_ranking,fill_first_std_student_ranking,fill_first_median_student_ranking,fill_first_iqr_student_ranking,fill_first_student_satisfaction_percent,fill_first_student_satisfaction_top4_percent,fill_first_student_satisfaction_top5_percent,fill_first_students_got_choice_1_count,fill_first_students_got_choice_1_percent,fill_first_students_got_choice_2_count,fill_first_students_got_choice_2_percent,fill_first_students_got_choice_3_count,fill_first_students_got_choice_3_percent,fill_first_students_got_choice_4_count,fill_first_students_got_choice_4_percent,fill_first_students_got_choice_5_count,fill_first_students_got_choice_5_percent,fill_first_students_got_choice_6_count,fill_first_students_got_choice_6_percent
1,True,2.230769230769231,1.5764539639937842,1.5,2.0,80.76923076923077,88.46153846153845,92.3076923076923,13,50.0,4,15.384615384615385,4,15.384615384615385,2,7.6923076923076925,1,3.8461538461538463,2,7.6923076923076925
2,True,2.8461538461538463,1.4058205294228512,2.0,1.75,73.07692307692307,84.61538461538461,92.3076923076923,3,11.538461538461538,11,42.30769230769231,5,19.230769230769234,3,11.538461538461538,2,7.6923076923076925,2,7.6923076923076925
3,True,2.8846153846153846,1.3395442128667692,3.0,2.0,69.23076923076923,88.46153846153845,96.15384615384616,5,19.230769230769234,5,19.230769230769234,8,30.76923076923077,5,19.230769230769234,2,7.6923076923076925,1,3.8461538461538463
4,True,2.923076923076923,1.4915938022819473,3.0,2.0,65.38461538461539,84.61538461538461,92.3076923076923,5,19.230769230769234,7,26.923076923076923,5,19.230769230769234,5,19.230769230769234,2,7.6923076923076925,2,7.6923076923076925
5,True,2.423076923076923,1.2144348772189957,2.0,1.0,80.76923076923077,96.15384615384616,96.15384615384616,6,23.076923076923077,10,38.46153846153847,5,19.230769230769234,4,15.384615384615385,0,0.0,1,3.8461538461538463
6,True,2.576923076923077,1.4189128265920552,2.0,1.0,76.92307692307693,84.61538461538461,96.15384615384616,6,23.076923076923077,10,38.46153846153847,4,15.384615384615385,2,7.6923076923076925,3,11.538461538461538,1,3.8461538461538463
7,True,3.3076923076923075,1.5632616486847366,4.0,2.0,46.15384615384615,76.92307692307693,92.3076923076923,5,19.230769230769234,4,15.384615384615385,3,11.538461538461538,8,30.76923076923077,4,15.384615384615385,2,7.6923076923076925
8,True,3.1153846153846154,1.5523412362008129,3.0,2.0,61.53846153846154,76.92307692307693,92.3076923076923,5,19.230769230769234,5,19.230769230769234,6,23.076923076923077,4,15.384615384615385,4,15.384615384615385,2,7.6923076923076925
9,True,2.8461538461538463,1.4058205294228512,2.5,2.0,61.53846153846154,88.46153846153845,96.15384615384616,5,19.230769230769234,8,30.76923076923077,3,11.538461538461538,7,26.923076923076923,2,7.6923076923076925,1,3.8461538461538463
10,True,3.0,1.5191090506254998,3.0,2.0,69.23076923076923,76.92307692307693,92.3076923076923,4,15.384615384615385,8,30.76923076923077,6,23.076923076923077,2,7.6923076923076925,4,15.384615384615385,2,7.6923076923076925
