trial,structurally_viable,fill_first_avg_student_ranking,fill_first_std_student_ranking,fill_first_median_student_ranking,fill_first_iqr_student_ranking,fill_first_student_satisfaction_percent,fill_first_student_satisfaction_top4_percent,fill_first_student_satisfaction_top5_percent,fill_first_students_got_choice_1_count,fill_first_students_got_choice_1_percent,fill_first_students_got_choice_2_count,fill_first_students_got_choice_2_percent,fill_first_students_got_choice_3_count,fill_first_students_got_choice_3_percent,fill_first_students_got_choice_4_count,fill_first_students_got_choice_4_percent,fill_first_students_got_choice_5_count,fill_first_students_got_choice_5_percent,fill_first_students_got_choice_6_count,fill_first_students_got_choice_6_percent
1,True,1.9333333333333333,1.1234866364235145,1.5,2.0,90.0,96.66666666666667,100.0,15,50.0,6,20.0,6,20.0,2,6.666666666666667,1,3.3333333333333335,0,0.0
2,True,2.6666666666666665,1.4220486005134363,2.5,1.0,80.0,86.66666666666667,93.33333333333333,7,23.333333333333332,8,26.666666666666668,9,30.0,2,6.666666666666667,2,6.666666666666667,2,6.666666666666667
3,True,2.1,1.16476034731041,2.0,2.0,83.33333333333334,96.66666666666667,100.0,12,40.0,9,30.0,4,13.333333333333334,4,13.333333333333334,1,3.3333333333333335,0,0.0
4,True,2.4,1.254325848148452,2.0,2.0,80.0,96.66666666666667,96.66666666666667,9,30.0,8,26.666666666666668,7,23.333333333333332,5,16.666666666666664,0,0.0,1,3.3333333333333335
5,True,2.1666666666666665,1.2931443160847216,2.0,2.0,80.0,96.66666666666667,96.66666666666667,12,40.0,9,30.0,3,10.0,5,16.666666666666664,0,0.0,1,3.3333333333333335
6,True,2.566666666666667,1.54236470683457,2.0,2.0,76.66666666666667,83.33333333333334,93.33333333333333,9,30.0,9,30.0,5,16.666666666666664,2,6.666666666666667,3,10.0,2,6.666666666666667
7,True,3.066666666666667,1.6316317667360556,3.0,2.0,56.666666666666664,80.0,90.0,7,23.333333333333332,6,20.0,4,13.333333333333334,7,23.333333333333332,3,10.0,3,10.0
8,True,3.0,1.591644851508443,3.0,2.0,60.0,83.33333333333334,90.0,7,23.333333333333332,6,20.0,5,16.666666666666664,7,23.333333333333332,2,6.666666666666667,3,10.0
9,True,2.3666666666666667,1.3535960336164632,2.0,2.75,73.33333333333333,96.66666666666667,96.66666666666667,11,36.666666666666664,7,23.333333333333332,4,13.333333333333334,7,23.333333333333332,0,0.0,1,3.3333333333333335
10,True,2.433333333333333,1.5638272140986533,2.0,2.0,80.0,86.66666666666667,90.0,10,33.33333333333333,10,33.33333333333333,4,13.333333333333334,2,6.666666666666667,1,3.3333333333333335,3,10.0
11,True,2.566666666666667,1.358512258154322,2.0,1.75,73.33333333333333,90.0,96.66666666666667,7,23.333333333333332,11,36.666666666666664,4,13.333333333333334,5,16.666666666666664,2,6.666666666666667,1,3.3333333333333335
12,True,2.2333333333333334,1.3337499349161703,2.0,2.0,83.33333333333334,93.33333333333333,96.66666666666667,12,40.0,7,23.333333333333332,6,20.0,3,10.0,1,3.3333333333333335,1,3.3333333333333335
13,True,2.2,1.5143755588800727,1.0,2.0,76.66666666666667,90.0,96.66666666666667,16,53.333333333333336,3,10.0,4,13.333333333333334,4,13.333333333333334,2,6.666666666666667,1,3.3333333333333335
14,True,2.5,1.5438048235879214,2.0,2.0,76.66666666666667,90.0,90.0,10,33.33333333333333,8,26.666666666666668,5,16.666666666666664,4,13.333333333333334,0,0.0,3,10.0
15,True,2.433333333333333,1.453348623772776,2.0,2.0,83.33333333333334,83.33333333333334,96.66666666666667,10,33.33333333333333,8,26.666666666666668,7,23.333333333333332,0,0.0,4,13.333333333333334,1,3.3333333333333335
16,True,2.433333333333333,1.358512258154322,2.0,2.0,83.33333333333334,93.33333333333333,93.33333333333333,9,30.0,8,26.666666666666668,8,26.666666666666668,3,10.0,0,0.0,2,6.666666666666667
17,True,2.4,1.3808210118138653,2.0,2.0,80.0,90.0,96.66666666666667,10,33.33333333333333,8,26.666666666666668,6,20.0,3,10.0,2,6.666666666666667,1,3.3333333333333335
18,True,2.6333333333333333,1.3780017739062924,2.0,1.75,73.33333333333333,86.66666666666667,96.66666666666667,6,20.0,12,40.0,4,13.333333333333334,4,13.333333333333334,3,10.0,1,3.3333333333333335
19,True,2.3,1.2151817422372124,2.0,2.0,90.0,93.33333333333333,96.66666666666667,9,30.0,9,30.0,9,30.0,1,3.3333333333333335,1,3.3333333333333335,1,3.3333333333333335
20,True,2.1,1.1930353445448854,2.0,2.0,86.66666666666667,93.33333333333333,100.0,12,40.0,9,30.0,5,16.666666666666664,2,6.666666666666667,2,6.666666666666667,0,0.0
21,True,2.7333333333333334,1.4817407180595246,3.0,3.0,60.0,86.66666666666667,100.0,10,33.33333333333333,4,13.333333333333334,4,13.333333333333334,8,26.666666666666668,4,13.333333333333334,0,0.0
22,True,2.3,1.3203534880225571,2.0,2.0,86.66666666666667,93.33333333333333,93.33333333333333,9,30.0,11,36.666666666666664,6,20.0,2,6.666666666666667,0,0.0,2,6.666666666666667
23,True,2.4,1.4966629547095764,2.0,2.0,80.0,90.0,93.33333333333333,12,40.0,5,16.666666666666664,7,23.333333333333332,3,10.0,1,3.3333333333333335,2,6.666666666666667
24,True,2.3666666666666667,1.251221625274897,2.0,2.0,80.0,93.33333333333333,100.0,10,33.33333333333333,7,23.333333333333332,7,23.333333333333332,4,13.333333333333334,2,6.666666666666667,0,0.0
25,True,2.466666666666667,1.3597385369580761,2.0,2.0,76.66666666666667,93.33333333333333,96.66666666666667,10,33.33333333333333,6,20.0,7,23.333333333333332,5,16.666666666666664,1,3.3333333333333335,1,3.3333333333333335
26,True,2.6333333333333333,1.471582670309608,2.0,3.0,70.0,86.66666666666667,96.66666666666667,9,30.0,7,23.333333333333332,5,16.666666666666664,5,16.666666666666664,3,10.0,1,3.3333333333333335
27,True,2.566666666666667,1.4302291968616623,2.5,2.0,80.0,90.0,93.33333333333333,9,30.0,6,20.0,9,30.0,3,10.0,1,3.3333333333333335,2,6.666666666666667
28,True,2.5,1.408308678285174,2.0,2.0,83.33333333333334,90.0,93.33333333333333,9,30.0,7,23.333333333333332,9,30.0,2,6.666666666666667,1,3.3333333333333335,2,6.666666666666667
29,True,2.4,1.3808210118138653,2.0,2.0,83.33333333333334,93.33333333333333,93.33333333333333,10,33.33333333333333,7,23.333333333333332,8,26.666666666666668,3,10.0,0,0.0,2,6.666666666666667
30,True,2.433333333333333,1.5205992970609392,2.0,2.0,80.0,86.66666666666667,93.33333333333333,11,36.666666666666664,7,23.333333333333332,6,20.0,2,6.666666666666667,2,6.666666666666667,2,6.666666666666667
31,True,2.2333333333333334,1.4067298564006128,2.0,1.0,83.33333333333334,90.0,93.33333333333333,10,33.33333333333333,13,43.333333333333336,2,6.666666666666667,2,6.666666666666667,1,3.3333333333333335,2,6.666666666666667
32,True,2.8,1.5790292376436015,2.0,2.75,63.33333333333333,83.33333333333334,93.33333333333333,8,26.666666666666668,8,26.666666666666668,3,10.0,6,20.0,3,10.0,2,6.666666666666667
33,True,2.3666666666666667,1.4019827229875395,2.0,2.0,76.66666666666667,90.0,96.66666666666667,10,33.33333333333333,10,33.33333333333333,3,10.0,4,13.333333333333334,2,6.666666666666667,1,3.3333333333333335
34,True,2.7,1.3453624047073711,2.0,1.0,76.66666666666667,90.0,93.33333333333333,5,16.666666666666664,11,36.666666666666664,7,23.333333333333332,4,13.333333333333334,1,3.3333333333333335,2,6.666666666666667
35,True,2.433333333333333,1.5205992970609392,2.0,2.0,76.66666666666667,90.0,93.33333333333333,12,40.0,5,16.666666666666664,6,20.0,4,13.333333333333334,1,3.3333333333333335,2,6.666666666666667
36,True,2.7333333333333334,1.730767331432956,2.0,3.0,70.0,76.66666666666667,90.0,10,33.33333333333333,7,23.333333333333332,4,13.333333333333334,2,6.666666666666667,4,13.333333333333334,3,10.0
